"Fingerprint - Tortured Phrase","Expected Text","Nb Retrieved Papers"
"""World Wellbeing Association (WHO)""","World Health Organization (WHO)","51"
"""synthesized discourse""","synthesized speech","51"
"""built-interconnected""","???","51"
"""shrewd matrix""","smart grid","51"
"""confined Boltzmann machine""","restricted Boltzmann machine (RBM)","51"
"""go-validation"" AND ""cross-validation""","cross-validation","51"
"""light producing diode""","light emitting diode","51"
"""free radical rummaging""","free radical scavenging","50"
"""conventional steering"" AND routing","traditional routing","50"
"""totally associated layer""","fully connected layer (of a neural network)","50"
"""savvy material""","smart material","50"
"""sunlight-based force""","solar power","50"
"""piece capability""","kernel function","50"
"""exactness, accuracy, and review""","precision, accuracy, and recall","50"
"""common language handling""","natural language processing (NLP)","50"
"""federated studying""","federated learning","50"
"""enormous language models""","large language models","50"
"""common dialect handling""","natural language processing","50"
"""pre-skilled model""","pre-trained model","50"
"""rice impact"" AND ""rice blast""","rice blast","50"
"""energy dispersive X-beam""","energy dispersive X-ray analysis (EDX)","50"
"""praise-primarily""","???","50"
"""blended speech""","synthesized speech","50"
"""time collection forecasting""","Time Series Forecast (TSF)","50"
"""voice reputation""","speech recognition","50"
"""populace increment""","population growth","50"
"""random backwoods""","random forest","50"
"""protest discovery""","object detection","50"
"""angle boosting"" AND ""gradient boosting""","gradient boosting","49"
"""bracket delicacy""","classification accuracy","49"
"""veritable positive""","true positive","49"
"""outward appearance acknowledgment""","face recognition","49"
"""dairy organs""","mammary glands","49"
"""logistic reversion""","logistic regression","49"
"""melanoma issues""","melanoma cases","49"
"""slope drop"" AND ""gradient descent""","gradient descent","49"
"""keen transportation""","smart transportation","49"
"""PC organization"" AND ""computer network""","computer network","49"
"""more noteworthy exactness""","higher accuracy","49"
"""car encoders""","auto-encoders","49"
"""random timberland""","random forest","49"
"""differentiation specialist""","contrast agent","49"
"""downstream undertaking""","downstream task","49"
"""information base framework""","database system","49"
"""discourse detachment""","speech separation","49"
"""highlight coordinating""","feature matching","49"
"""ok-nearest neighbor""","K-nearest neighbor","49"
"""fuzzy C-implies""","fuzzy C-means (clustering)","49"
"""meta-highlight""","meta-feature","49"
"""moving normal (ARIMA)""","Autoregressive integrated moving average (ARIMA)","49"
"""vehicular specially appointed systems""","vehicular ad-hoc networks (VANET)","48"
"""MFCC highlights""","MFCC features","48"
"""tend to area unit""","are","48"
"""self-governing driving""","autonomous driving","48"
"""flag to commotion""","signal to noise","48"
"""counterfeit intelligence""","artificial intelligence (AI)","48"
"""private mists""","private cloud","48"
"""electrostatic fascination""","electrostatic attraction","48"
"""unaided AI""","unsupervised artificial intelligence","48"
"""commented on pictures""","labeled images","48"
"""noxious node""","malicious node","48"
"""Linux Working Framework""","Linux Operating System","48"
"""appealing charge""","Attractive Interaction","48"
"""noise expulsion""","noise removal","48"
"""pernicious node""","malicious node","48"
"""main ingredient analysis""","Principal Component Analysis (PCA)","48"
"""savvy vehicle""","smart vehicle","48"
"""savvy cultivating""","smart farming","48"
"""Global Diary of""","International Journal of","48"
"""Radio Recurrence Distinguishing proof""","Radio Frequency Identification (RFID)","48"
"""universal inhabitants""","world population","48"
"""Inclination boosting""","gradient boosting","48"
"""audit article"" AND ""review article""","review article","48"
"""Boolean rationale""","Boolean logic","48"
"""wellspring of income""","source of income","48"
"""miss rate calculation""","???","48"
"""generation countermeasure network (GAN)""","generative adversarial network","48"
"""safe starch""","resistant starch","48"
"""hyaluronic corrosive""","hyaluronic acid","47"
"""noise evacuation""","noise removal","47"
"""exactness responsiveness explicitness""~5","accuracy, sensitivity, specificity","47"
"""malevolent tumor""","malignant tumor","47"
"""feeling grouping""","emotion classification","47"
"""personal data protection obligation""","General Data Protection Regulation (GDPR)","47"
"""impartial PH""","neutral PH","47"
"""venereal ailments""","venereal disease","47"
"""back-spread calculation""","backpropagation algorithm","47"
"""commencement work""","activation function","47"
"""low-goal"" AND ""low-resolution""","low-resolution","47"
"""warm diffusivity""","thermal diffusivity","47"
"""XG help""","XGBoost","47"
"""JPEG pressure""","JPEG compression","47"
"""successive information"" AND ""sequential data""","sequential data","47"
"""cease-to-cease""","end-to-end","47"
"""low pay nations""","low income countries","47"
"""android versatile"" NOT ""paranoid android""","Android mobile/phone","47"
"""intensity weighted bandwidth""","spectral efficiency","47"
"""logical growth phase""~5","logarithmic growth phase","47"
"""favorable cancer"" AND (""benign cancer"" OR ""benign tumor"")","benign cancer/tumor","47"
"""lifestyles span""","lifespan","46"
"""salt and peppers commotion""","salt and pepper noise","46"
"""High-thickness polyethylene""","high density polyethylene (HDPE)","46"
"""inertial estimation unit""","inertial measurement unit","46"
"""human-PC association""","Human Machine Interface (HMI) OR Human-computer interaction (HCI)","46"
"""Mel Recurrence Cepstral""","Mel Frequency Cepstral","46"
"""data wisdom"" AND ""data science""","data science","46"
"""nourishment handling""","food processing","46"
"""fractional request""","fractional order","46"
"""blunder signal""","error signal","46"
"""bogus negative FN""~5","false negative","46"
"""savvy matrix""","smart grid","46"
"""acknowledgement execution""","recognition performance","46"
"""GB Smash""~3","GB RAM (memory)","46"
"""normal language preparing""","natural language processing","46"
"""authoritative ownership""","executive ownership","46"
"""support vector engine""","support vector machine (SVM)","46"
"""man-made awareness""","artificial intelligence","46"
"""Map prune""","Map Reduce","46"
"""interconnected burdens""","interconnected loads","46"
"""oil rentals""","oil rents","46"
"""back-engendering calculation""","back-propagation algorithm","46"
"""stop-to-quit""","end-to-end (E2E)","46"
"""mechanical upset""","industrial revolution","46"
"""cross-approval techniques""","cross-validation techniques","46"
"""rhapsody simulation""","ensemble simulation","46"
"""blunder pace""","error rate","46"
"""memory misfortune""","memory loss","45"
"""fifth era (5G)""","fifth generation (5G)","45"
"""community coding"" AND ""network coding""","network coding","45"
"""Gaussian haze""","Gaussian noise","45"
"""vitality utilize""","energy use","45"
"""e-casting a ballot""","e-voting","45"
"""input esteems""","input values","45"
"""machine mastery""","machine learning","45"
"""bearer gas""","carrier gas","45"
"""gear disappointment""","gear failure","45"
"""huge quantities of individuals""","large parts of the population","45"
"""forecast blunder""","prediction error","45"
"""empower rancher""","enable farmer","45"
"""hyperledger texture""","hyperledger fabric","45"
"""halfway differential condition""","partial differential equation","45"
"""bosom milk""","breast milk","45"
"""evaluation gadget""","evaluation system","45"
"""brilliant card""","smart cards","45"
"""bitcoin cryptocurrency exchange""","???","45"
"""synthetic genius""","artificial intelligence","45"
"""forthcoming utilization""","further use","45"
"""channel banks"" AND ""MFCC""","filter banks","45"
"""ROC wind""","ROC curve","45"
"""matrix search"" AND ""grid search""","grid search","45"
"""computerized-based system""","Computer-Based Systems","45"
"""Apple Observe""","Apple Watch","45"
"""imperativeness usage""","energy use","45"
"""prophetic modeling""","predictive modeling","45"
"""bolster forward""","feed-forward (connections)","45"
"""inclination drop"" AND ""ANN""","gradient descent","45"
"""gregarious media""","social media","45"
"""clever meter""","smart meter","45"
"""segregated word""","isolated word","45"
"""accuracy, precision, don't forget""","accuracy, precision, recall","44"
"""world positioning system""","Global Positioning System (GPS)","44"
"""to be had bandwidth""","available bandwidth","44"
"""irresistible specialist""","infectious agent","44"
"""mel-recurrence cepstral coefficients""","Mel-frequency cepstral coefficients (MFCCs)","44"
"""deep acquisition"" AND ""deep learning""","deep learning","44"
"""designated conveyance""","targeted delivery","44"
"""shrouded Markov""","Hidden Markov Model (HMM)","44"
"""gesture popularity""","gesture recognition","44"
"""robotized recognition""","automated classification","44"
"""line bolstering""","line feeding","44"
"""antimicrobial opposition""","resistance to antibiotics","44"
"""nutrient B12"" AND ""vitamin""","vitamin B12","44"
"""antiquated occasions""","ancient times","44"
"""least-squares relapse""","least-squares regression","44"
"""fluffy grouping""","fuzzy clustering","44"
"""sample reputation"" AND ""pattern recognition""","pattern recognition","44"
